                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   3.83,                 4.1232,                 3.6496,                0.50579,                0.06849,                0.00958,                0.00235,                 4.2697,                 47.962,                 2.9634,             0.00041346,             0.00041346,             0.00041346
                      2,                  2.921,                 2.4778,                 2.3535,                0.43612,                0.23267,                0.12163,                0.03769,                 2.8994,                 3.4591,                 1.7658,             0.00082739,             0.00082739,             0.00082739
                      3,                 2.7081,                 2.1787,                 2.0294,                 0.7686,                0.19089,                0.20112,                0.06958,                 2.6903,                 2.2408,                 1.5946,              0.0012386,              0.0012386,              0.0012386
                      4,                 2.5207,                 1.9125,                 1.8207,                0.78185,                0.18225,                0.19845,                 0.0744,                 2.4885,                  2.399,                 1.5034,              0.0012376,              0.0012376,              0.0012376
                      5,                 2.3618,                 1.7473,                 1.6914,                 0.9315,                0.16576,                0.24742,                0.10262,                 2.4026,                 1.7796,                 1.4479,              0.0012376,              0.0012376,              0.0012376
                      6,                 2.2831,                 1.6579,                 1.6229,                0.82183,                0.23179,                0.26725,                 0.1137,                 2.2483,                 1.5524,                  1.401,              0.0012335,              0.0012335,              0.0012335
                      7,                 2.1698,                 1.5745,                 1.5527,                0.85992,                0.24943,                0.29608,                 0.1291,                 2.1408,                 1.4632,                 1.3526,              0.0012294,              0.0012294,              0.0012294
                      8,                 2.1046,                  1.524,                 1.5162,                0.86455,                 0.2481,                0.30195,                0.13265,                   2.11,                 1.4673,                  1.321,              0.0012252,              0.0012252,              0.0012252
                      9,                 2.0781,                 1.5202,                 1.4945,                 0.3704,                0.32019,                0.30347,                0.13608,                 2.0792,                 1.5204,                 1.3083,              0.0012211,              0.0012211,              0.0012211
                     10,                 2.0595,                 1.4227,                 1.4539,                0.85647,                0.27748,                0.32755,                0.15091,                  2.011,                 1.4717,                 1.2693,               0.001217,               0.001217,               0.001217
                     11,                 2.0349,                 1.4175,                 1.4503,                  0.382,                0.33012,                0.32662,                0.14818,                 2.0332,                 1.3853,                 1.2717,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.9828,                  1.376,                 1.4037,                 0.3238,                0.35534,                0.34112,                0.15177,                 1.9886,                 1.3463,                  1.267,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.9399,                 1.3573,                 1.4092,                 0.8528,                0.28374,                0.34916,                0.16411,                 1.9158,                 1.3536,                 1.2342,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.9378,                 1.3157,                 1.3831,                0.42605,                0.37123,                0.35444,                0.16111,                 1.8707,                 1.4367,                 1.2162,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.9132,                 1.3064,                 1.3943,                0.37899,                0.34605,                0.36054,                0.16621,                 1.8559,                 1.2683,                 1.2181,              0.0011964,              0.0011964,              0.0011964
